miRNA_ID,BB14206,TRB011,TRB014,TRB012,TRB008,BB1543,TRB027,BB14243,TRB007,TRB010,BB14254,TRB016,TRB017,TRB019,TRB021,TRB002,TRB005,TRB013,TRB003,TRB025,BB14277,TRB006,TRB024,BB14294
hsa-miR-23a-5p,8.703067619198249,14.03409293587663,15.816045961288998,18.95432621324626,19.535380402783098,13.776618148991252,9.967200704010882,9.989958537227338,17.569025616081504,8.735043315144559,17.40955247732957,6.128166820848064,6.80884769802596,8.877982249351309,17.135488134197246,18.213379197561522,14.061016173419684,10.329288532509878,17.09499063211964,9.439780243099097,18.308098460429783,8.955524409949229,17.22123893887113,20.649293005096563
ebv-miR-BART1-3p,16.544757095585595,9.453082951970526,5.354259130467208,19.864064793433094,16.36476086092371,8.14921146196286,17.25495658056756,12.246328673678725,8.127627160609677,10.428950467955048,13.431471208160321,12.082735743576102,6.455091232602111,9.792970869574972,13.93522001384935,8.819826562975932,9.594596882331022,9.222553702679264,6.075340085381602,7.096595359836064,17.297076028795466,13.49049193732381,20.03435096581463,12.301656066394814
hsa-miR-921,17.670584937536248,19.976773406568736,13.411244357200237,15.185714205593293,10.811755919321165,9.289733868617521,5.372087818220499,14.369117392230859,18.256099002844238,17.712853746124846,15.975242064869816,12.144769151460387,7.754243916845692,6.368969155938703,6.933644003392921,14.50826398155234,15.921796542649389,16.59583436063561,18.032663313295537,9.12179884073804,8.729984149079257,14.123495942731001,9.901103761832722,9.830009283642624
hsa-miR-181a-2-3p,10.006776554054756,8.28977074809695,11.693147702747716,11.584184336938078,9.92494404189922,9.281317727624591,7.481422534587739,17.30141171750025,9.456857380617597,8.767899837811468,7.185848431995949,9.564111935674905,12.770424067241336,13.697095794002285,9.409208708656376,7.195089024172214,8.116930579494493,17.069883697207686,11.392940202182821,9.71835976795303,12.937862283405767,19.101289791034695,18.844196733041066,18.992698184487807
hsa-miR-502-5p,15.574464510705873,13.617747930640348,17.949917756440406,20.74874502637354,12.512575135404846,12.554420261485436,16.92065482104056,15.087238827443851,13.760901582515869,18.13283717463629,19.16610146008374,16.874335874612136,12.155964985390293,12.927713280632194,16.35045148333948,12.421017011255433,11.79205696209263,6.37651438393961,11.408667774286894,19.20854362318084,10.702101043164642,14.148153171316212,16.226362447763222,20.718526461490665
hsa-miR-508-5p,7.0386167693094315,8.51307934722854,16.849170527451093,11.436539510204968,6.70756769223482,10.805943720006525,16.848497806125454,15.04757462252897,11.66511271827995,15.595327878869417,12.033293556581313,11.740108445623868,15.649913447660154,10.147823621530343,6.39990596903827,16.68763167219303,12.053527458270352,5.752038964643876,16.758497884748564,9.986644929609337,12.28212213531661,10.076919337663778,20.01808833226646,16.092749062869906
hsa-miR-19b-2-5p,14.484812386240678,11.83546422995471,13.251277394398226,6.822454901030627,6.661270060877175,20.823407767752972,11.077348051083902,16.73927793343507,8.930358510805139,16.47045240185266,14.418378501226055,14.91363642042294,14.125685704103754,10.333587701765584,16.864082261981615,6.874341374772567,15.90565651579386,18.765120443578304,20.034707455025462,14.162282412630287,14.92271613744881,5.640111484769088,17.712365690802166,10.88647570267548
kshv-miR-K12-12*,19.446786169836024,7.157168853244201,6.862093795276242,12.389401119501533,5.348318124548865,8.213447870749985,9.046403191090342,8.390911294368514,17.085714593482898,18.308886406808284,16.416550163992,16.609521248747647,6.64707937946812,15.504492107246122,8.241478552982468,7.567002093331906,9.542110565046858,11.341702861676744,5.738085089698977,16.245235983416215,8.765099099853593,19.864816629299174,9.232874069596647,6.976887350482224
hsa-miR-1270,18.39483927069049,6.751160824745087,12.806454058575234,14.828265972717269,10.931137865312195,19.807510007304113,6.556417300274332,15.84770342034253,12.92918054004382,9.217548472944596,14.715747289598507,10.52060307532463,15.495380615201753,18.473666958671828,10.817763160716297,17.08538330655875,16.538319130465297,10.926692592320892,18.063062988697236,12.100869462911454,11.926215370833203,18.311204628514215,13.60809742622542,17.926725316221393
hsa-miR-1248,10.723011418945132,17.287841797566607,19.97619323554065,20.436994470330063,21.209483733502736,16.410820936220826,15.61275222934913,16.143843264123152,17.089567893494383,15.652204019243094,17.793377926325057,16.519146589133427,19.839466825841285,19.623300482024412,13.567408257294945,21.429725515928777,17.35405515106919,18.812171497595493,18.285689195647524,21.019216101922176,9.326282605653983,16.52603096056442,12.10825256911233,15.46450281141818
